date,id,question,question_norm,research_tokens,model,prompt_type,forecast,closure_date,end_date,volume_num,liquidity_num,yes_price,no_price,days_to_end,abs_diff,resolution,forecast_mean_prompt,forecast_mean_all,,,,
29/07/2025,566921,New X CEO announced by August 31?,new x ceo announced by august 31?,NA,openai_gpt_4o_mini,Zero-shot,0.7,31/08/2025,NA,NA,NA,0.21,0.66,NA,0.49,0,0.558333333,0.541666667,,,,
29/07/2025,566921,New X CEO announced by August 31?,new x ceo announced by august 31?,NA,openai_gpt_4o_mini,CoT,0.7,31/08/2025,NA,NA,NA,0.21,0.66,NA,0.49,0,0.525,0.541666667,,,,
29/07/2025,566921,New X CEO announced by August 31?,new x ceo announced by august 31?,NA,openai_gpt_3_5_turbo_0613,Zero-shot,0.6,31/08/2025,NA,NA,NA,0.21,0.66,NA,0.39,0,0.558333333,0.541666667,,,,
29/07/2025,566921,New X CEO announced by August 31?,new x ceo announced by august 31?,NA,openai_gpt_3_5_turbo_0613,CoT,0.4,31/08/2025,NA,NA,NA,0.21,0.66,NA,0.19,0,0.525,0.541666667,,,,
29/07/2025,566921,New X CEO announced by August 31?,new x ceo announced by august 31?,NA,google_gemma_3_12b_it,Zero-shot,0.2,31/08/2025,NA,NA,NA,0.21,0.66,NA,0.01,0,0.558333333,0.541666667,,,,
29/07/2025,566921,New X CEO announced by August 31?,new x ceo announced by august 31?,NA,google_gemma_3_12b_it,CoT,0.3,31/08/2025,NA,NA,NA,0.21,0.66,NA,0.09,0,0.525,0.541666667,,,,
29/07/2025,566921,New X CEO announced by August 31?,new x ceo announced by august 31?,NA,google_gemma_3_27b_it_free,Zero-shot,0.75,31/08/2025,NA,NA,NA,0.21,0.66,NA,0.54,0,0.558333333,0.541666667,,,,
29/07/2025,566921,New X CEO announced by August 31?,new x ceo announced by august 31?,NA,google_gemma_3_27b_it_free,CoT,0.65,31/08/2025,NA,NA,NA,0.21,0.66,NA,0.44,0,0.525,0.541666667,,,,
29/07/2025,566921,New X CEO announced by August 31?,new x ceo announced by august 31?,NA,deepseek_deepseek_chat_v3_0324_free,Zero-shot,0.4,31/08/2025,NA,NA,NA,0.21,0.66,NA,0.19,0,0.558333333,0.541666667,,,,
29/07/2025,566921,New X CEO announced by August 31?,new x ceo announced by august 31?,NA,deepseek_deepseek_chat_v3_0324_free,CoT,0.4,31/08/2025,NA,NA,NA,0.21,0.66,NA,0.19,0,0.525,0.541666667,,,,
29/07/2025,566921,New X CEO announced by August 31?,new x ceo announced by august 31?,NA,deepseek_deepseek_r1_free,Zero-shot,0.7,31/08/2025,NA,NA,NA,0.21,0.66,NA,0.49,0,0.558333333,0.541666667,,,,
29/07/2025,566921,New X CEO announced by August 31?,new x ceo announced by august 31?,NA,deepseek_deepseek_r1_free,CoT,0.7,31/08/2025,NA,NA,NA,0.21,0.66,NA,0.49,0,0.525,0.541666667,,,,
29/07/2025,541826,Will Felix Auger-Aliassime win the 2025 US Open?,will felix auger-aliassime win the 2025 us open?,NA,openai_gpt_4o_mini,Zero-shot,0.25,07/09/2025,NA,NA,NA,0.002,0.997,NA,0.248,0,0.156666667,0.150909091,,,,
29/07/2025,541826,Will Felix Auger-Aliassime win the 2025 US Open?,will felix auger-aliassime win the 2025 us open?,NA,openai_gpt_4o_mini,CoT,0.25,07/09/2025,NA,NA,NA,0.002,0.997,NA,0.248,0,0.144,0.150909091,,,,
29/07/2025,541826,Will Felix Auger-Aliassime win the 2025 US Open?,will felix auger-aliassime win the 2025 us open?,NA,openai_gpt_3_5_turbo_0613,Zero-shot,0.2,07/09/2025,NA,NA,NA,0.002,0.997,NA,0.198,0,0.156666667,0.150909091,,,,
29/07/2025,541826,Will Felix Auger-Aliassime win the 2025 US Open?,will felix auger-aliassime win the 2025 us open?,NA,openai_gpt_3_5_turbo_0613,CoT,0.2,07/09/2025,NA,NA,NA,0.002,0.997,NA,0.198,0,0.144,0.150909091,,,,
29/07/2025,541826,Will Felix Auger-Aliassime win the 2025 US Open?,will felix auger-aliassime win the 2025 us open?,NA,google_gemma_3_12b_it,Zero-shot,0.15,07/09/2025,NA,NA,NA,0.002,0.997,NA,0.148,0,0.156666667,0.150909091,,,,
29/07/2025,541826,Will Felix Auger-Aliassime win the 2025 US Open?,will felix auger-aliassime win the 2025 us open?,NA,google_gemma_3_12b_it,CoT,0.08,07/09/2025,NA,NA,NA,0.002,0.997,NA,0.078,0,0.144,0.150909091,,,,
29/07/2025,541826,Will Felix Auger-Aliassime win the 2025 US Open?,will felix auger-aliassime win the 2025 us open?,NA,google_gemma_3_27b_it_free,Zero-shot,0.15,07/09/2025,NA,NA,NA,0.002,0.997,NA,0.148,0,0.156666667,0.150909091,,,,
29/07/2025,541826,Will Felix Auger-Aliassime win the 2025 US Open?,will felix auger-aliassime win the 2025 us open?,NA,google_gemma_3_27b_it_free,CoT,0.15,07/09/2025,NA,NA,NA,0.002,0.997,NA,0.148,0,0.144,0.150909091,,,,
29/07/2025,541826,Will Felix Auger-Aliassime win the 2025 US Open?,will felix auger-aliassime win the 2025 us open?,NA,deepseek_deepseek_chat_v3_0324_free,Zero-shot,0.15,07/09/2025,NA,NA,NA,0.002,0.997,NA,0.148,0,0.156666667,0.150909091,,,,
29/07/2025,541826,Will Felix Auger-Aliassime win the 2025 US Open?,will felix auger-aliassime win the 2025 us open?,NA,deepseek_deepseek_chat_v3_0324_free,CoT,NA,07/09/2025,NA,NA,NA,0.002,0.997,NA,NA,0,0.144,0.150909091,,,,
29/07/2025,541826,Will Felix Auger-Aliassime win the 2025 US Open?,will felix auger-aliassime win the 2025 us open?,NA,deepseek_deepseek_r1_free,Zero-shot,0.04,07/09/2025,NA,NA,NA,0.002,0.997,NA,0.038,0,0.156666667,0.150909091,,,,
29/07/2025,541826,Will Felix Auger-Aliassime win the 2025 US Open?,will felix auger-aliassime win the 2025 us open?,NA,deepseek_deepseek_r1_free,CoT,0.04,07/09/2025,NA,NA,NA,0.002,0.997,NA,0.038,0,0.144,0.150909091,,,,
29/07/2025,537897,Will Trump eliminate daylight saving time before September?,will trump eliminate daylight saving time before september?,NA,openai_gpt_4o_mini,Zero-shot,0.3,31/08/2025,NA,NA,NA,0.011,0.939,NA,0.289,0,0.2,0.2,,,,
29/07/2025,537897,Will Trump eliminate daylight saving time before September?,will trump eliminate daylight saving time before september?,NA,openai_gpt_4o_mini,CoT,0.3,31/08/2025,NA,NA,NA,0.011,0.939,NA,0.289,0,0.2,0.2,,,,
29/07/2025,537897,Will Trump eliminate daylight saving time before September?,will trump eliminate daylight saving time before september?,NA,openai_gpt_3_5_turbo_0613,Zero-shot,0.2,31/08/2025,NA,NA,NA,0.011,0.939,NA,0.189,0,0.2,0.2,,,,
29/07/2025,537897,Will Trump eliminate daylight saving time before September?,will trump eliminate daylight saving time before september?,NA,openai_gpt_3_5_turbo_0613,CoT,0.2,31/08/2025,NA,NA,NA,0.011,0.939,NA,0.189,0,0.2,0.2,,,,
29/07/2025,537897,Will Trump eliminate daylight saving time before September?,will trump eliminate daylight saving time before september?,NA,google_gemma_3_12b_it,Zero-shot,0.15,31/08/2025,NA,NA,NA,0.011,0.939,NA,0.139,0,0.2,0.2,,,,
29/07/2025,537897,Will Trump eliminate daylight saving time before September?,will trump eliminate daylight saving time before september?,NA,google_gemma_3_12b_it,CoT,0.15,31/08/2025,NA,NA,NA,0.011,0.939,NA,0.139,0,0.2,0.2,,,,
29/07/2025,537897,Will Trump eliminate daylight saving time before September?,will trump eliminate daylight saving time before september?,NA,google_gemma_3_27b_it_free,Zero-shot,0.2,31/08/2025,NA,NA,NA,0.011,0.939,NA,0.189,0,0.2,0.2,,,,
29/07/2025,537897,Will Trump eliminate daylight saving time before September?,will trump eliminate daylight saving time before september?,NA,google_gemma_3_27b_it_free,CoT,0.25,31/08/2025,NA,NA,NA,0.011,0.939,NA,0.239,0,0.2,0.2,,,,
29/07/2025,537897,Will Trump eliminate daylight saving time before September?,will trump eliminate daylight saving time before september?,NA,deepseek_deepseek_chat_v3_0324_free,Zero-shot,0.2,31/08/2025,NA,NA,NA,0.011,0.939,NA,0.189,0,0.2,0.2,,,,
29/07/2025,537897,Will Trump eliminate daylight saving time before September?,will trump eliminate daylight saving time before september?,NA,deepseek_deepseek_chat_v3_0324_free,CoT,0.2,31/08/2025,NA,NA,NA,0.011,0.939,NA,0.189,0,0.2,0.2,,,,
